fecha,puntaje,categoria,cancion,artista,genero
2026-06-17,3.0,Triste,Summertime,Ella Fitzgerald,Jazz
2026-06-17,5.9,Calmo,Misty,Erroll Garner,Jazz
2026-06-17,1.0,Triste,Too Good at Goodbyes,Sam Smith,Pop
2026-06-17,10.0,Energético,Run the World (Girls),Beyoncé,Pop
2026-06-17,6.300000000000001,Feliz,Uptown Funk,Mark Ronson ft. Bruno Mars,Pop
2026-06-17,5.5,Calmo,Strobe,deadmau5,Electronic
2026-06-17,6.0,Feliz,Levitating (feat. DaBaby),Dua Lipa,Pop
2026-06-18,7.4,Feliz,What a Wonderful World,Louis Armstrong,Jazz
2026-06-18,5.1,Calmo,Midnight,Coldplay x Avicii,Electronic
